EV Charger Registration Code,Name,No. of Charging Outlets,Connector ID,Type of Connector,Rated Output Power (kW),Postal Code,Block/House No,Street Name,Building Name,Floor No,Lot No,Is the charger publicly accessible?,Longitude,Latitude
R103795A,COMFORTDELGRO ENGIE PTE. LTD.,1,R103795A-001,Type 2,7,120427,427,CLEMENTI AVENUE 3,,L1,41,Yes,103.764187,1.311756081
R103796E,COMFORTDELGRO ENGIE PTE. LTD.,1,R103796E-001,Type 2,7,560405,405,ANG MO KIO AVENUE 10,,L1,231,Yes,103.8540722,1.361151022
R103797K,COMFORTDELGRO ENGIE PTE. LTD.,1,R103797K-001,Type 2,7,560405,405,ANG MO KIO AVENUE 10,,L1,232,Yes,103.8540722,1.361151022
R103798B,COMFORTDELGRO ENGIE PTE. LTD.,1,R103798B-001,Type 2,7,560405,405,ANG MO KIO AVENUE 10,,L1,233,Yes,103.8540722,1.361151022
R103800K,COMFORTDELGRO ENGIE PTE. LTD.,1,R103800K-001,Type 2,7,560230,230,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,L1,121,Yes,103.8387593,1.368567887
R103801B,COMFORTDELGRO ENGIE PTE. LTD.,1,R103801B-001,Type 2,7,560230,230,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,L1,122,Yes,103.8387593,1.368567887
R103802F,COMFORTDELGRO ENGIE PTE. LTD.,1,R103802F-001,Type 2,7,560230,230,ANG MO KIO AVENUE 3,KEBUN BARU PALM VIEW,L1,123,Yes,103.8387593,1.368567887
R103840R,COMFORTDELGRO ENGIE PTE. LTD.,1,R103840R-001,Type 2,7,560560,560,ANG MO KIO AVENUE 10,,L1,37,Yes,103.8592466,1.370558167
R103841D,COMFORTDELGRO ENGIE PTE. LTD.,1,R103841D-001,Type 2,7,560560,560,ANG MO KIO AVENUE 10,,L1,38,Yes,103.8592466,1.370558167
R103842H,COMFORTDELGRO ENGIE PTE. LTD.,1,R103842H-001,Type 2,7,560560,560,ANG MO KIO AVENUE 10,,L1,39,Yes,103.8592466,1.370558167
R103843A,COMFORTDELGRO ENGIE PTE. LTD.,1,R103843A-001,Type 2,7,120510,510,WEST COAST DRIVE,WEST COAST VISTA,L1,10,Yes,103.7605991,1.310563194
R103844E,COMFORTDELGRO ENGIE PTE. LTD.,1,R103844E-001,Type 2,7,120510,510,WEST COAST DRIVE,WEST COAST VISTA,L1,11,Yes,103.7605991,1.310563194
R103845K,COMFORTDELGRO ENGIE PTE. LTD.,1,R103845K-001,Type 2,7,120510,510,WEST COAST DRIVE,WEST COAST VISTA,L1,12,Yes,103.7605991,1.310563194
R103846B,COMFORTDELGRO ENGIE PTE. LTD.,1,R103846B-001,Type 2,7.4,737628,17,WOODLANDS DRIVE 17,,B4,274,Yes,103.7947438,1.424681383
R103847F,COMFORTDELGRO ENGIE PTE. LTD.,1,R103847F-001,Type 2,7.4,737628,17,WOODLANDS DRIVE 17,,B4,275,Yes,103.7947438,1.424681383
R103848Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R103848Z-001,Type 2,7.4,737628,17,WOODLANDS DRIVE 17,,B3,239,Yes,103.7947438,1.424681383
R103849C,COMFORTDELGRO ENGIE PTE. LTD.,1,R103849C-001,Type 2,7.4,737628,17,WOODLANDS DRIVE 17,,B3,240,Yes,103.7947438,1.424681383
R103850F,COMFORTDELGRO ENGIE PTE. LTD.,1,R103850F-001,Type 2,7.4,311003,3A,LORONG 7 TOA PAYOH,MULTI STOREY CAR PARK,L1,65,Yes,103.8542126,1.339518206
R103851Z,COMFORTDELGRO ENGIE PTE. LTD.,1,R103851Z-001,Type 2,7.4,311003,3A,LORONG 7 TOA PAYOH,MULTI STOREY CAR PARK,L1,66,Yes,103.8542126,1.339518206
R103852C,COMFORTDELGRO ENGIE PTE. LTD.,1,R103852C-001,Type 2,7.4,311003,3A,LORONG 7 TOA PAYOH,MULTI STOREY CAR PARK,L1,67,Yes,103.8542126,1.339518206
R103853G,COMFORTDELGRO ENGIE PTE. LTD.,1,R103853G-001,Type 2,7.4,655291,291F,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,312,Yes,103.7550523,1.342859652
R103854R,COMFORTDELGRO ENGIE PTE. LTD.,1,R103854R-001,Type 2,7.4,655291,291F,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,313,Yes,103.7550523,1.342859652
R103857A,COMFORTDELGRO ENGIE PTE. LTD.,1,R103857A-001,Type 2,7.4,655291,291F,BUKIT BATOK STREET 24,MULTI STOREY CAR PARK,L3,314,Yes,103.7550523,1.342859652
R103858E,COMFORTDELGRO ENGIE PTE. LTD.,1,R103858E-001,Type 2,7.4,571022,22A,SIN MING ROAD,MULTI STOREY CAR PARK,L2,71,Yes,103.8390335,1.357327528
R103860A,COMFORTDELGRO ENGIE PTE. LTD.,1,R103860A-001,Type 2,7.4,571022,22A,SIN MING ROAD,MULTI STOREY CAR PARK,L2,72,Yes,103.8390335,1.357327528
R103861E,COMFORTDELGRO ENGIE PTE. LTD.,1,R103861E-001,Type 2,7.4,571022,22A,SIN MING ROAD,MULTI STOREY CAR PARK,L2,73,Yes,103.8390335,1.357327528
